epoch,loss,r2_2,val_loss,val_r2_2
0,0.15270383664168455,0.84591764,0.07759136230665002,0.92216957
1,0.0691610488738744,0.9300923,0.05944287155236327,0.9403785
2,0.03241371535146367,0.9672906,0.016411243255729548,0.98358774
3,0.013145994649942766,0.9867327,0.015735592990877866,0.9841882
4,0.008242140531528474,0.9916932,0.007129763935869491,0.99286336
5,0.006376008562126974,0.99355,0.00448739709948378,0.99551505
6,0.004723579563178472,0.99522406,0.0036083103433986593,0.9963902
7,0.003520188361253199,0.99644184,0.00838103389444395,0.9915946
8,0.00285179702566952,0.99711454,0.00301719198395069,0.9969769
9,0.0024849364266323697,0.99749017,0.0016791223946955995,0.99831825
10,0.0026404472069894457,0.997332,0.002004241827770441,0.9979925
11,0.0016590547762023917,0.9983226,0.002129317688769496,0.99786097
12,0.0015588810408950773,0.99842453,0.001549649154879191,0.99844575
13,0.0017888458759457865,0.99818724,0.0009603842331530615,0.9990353
14,0.0017441409968435826,0.99824226,0.0025348109186612267,0.997451
15,0.0011898645679099722,0.9987956,0.0008266295714945653,0.99917185
16,0.0015784927563848334,0.9983983,0.0008262466211187868,0.99917275
17,0.00134792232229203,0.99863595,0.0022532727380052526,0.99772877
18,0.0012940111861194745,0.99869394,0.009738213248620158,0.9902364
19,0.0011225569011016827,0.9988692,0.0013020931053136535,0.99869335
20,0.0012979869281769965,0.9986961,0.0005253525286962156,0.9994736
21,0.0010683186096787473,0.9989175,0.0008262199487133341,0.9991729
22,0.00097936581784369,0.9990127,0.0016978536468373136,0.99829364
23,0.001062878040391025,0.9989312,0.0006975134795834876,0.9993017
24,0.001238152451025536,0.9987499,0.000574429013537251,0.9994251
25,0.0007361292897069497,0.99925524,0.000571918549289937,0.99942714
26,0.0007580382156797685,0.9992338,0.0007933741185074417,0.99920607
27,0.000901054914763121,0.9990919,0.0010400031341168334,0.99895513
28,0.001018183412832043,0.9989631,0.0005050301602377888,0.9994943
29,0.0006947990781487596,0.9992956,0.0007150641723334836,0.9992817
30,0.0007657634055048872,0.9992284,0.0009832683038940482,0.9990116
31,0.0008493969757421707,0.9991462,0.00044056202370416805,0.9995584
32,0.0006172388397094708,0.9993782,0.00038195466609843796,0.999617
33,0.0008457761581865527,0.9991437,0.001209681478536443,0.9987846
34,0.0006890106136378641,0.999302,0.0012830891786637117,0.99871266
35,0.0006489081821102939,0.999347,0.0005620732758392058,0.9994361
36,0.0005379384748595132,0.99945635,0.002286264351937033,0.9976968
37,0.0006408528593309043,0.9993543,0.0034973045608843955,0.9964844
38,0.0006762119760356412,0.99932027,0.0009789899548773328,0.99901783
39,0.0006251127856020852,0.9993663,0.000448466310431492,0.9995485
40,0.0005524545127947467,0.99944216,0.0004984191736766099,0.99949986
41,0.0006313044309099711,0.9993625,0.0007535850884846654,0.99924296
42,0.0006554062557749058,0.9993388,0.002071611349089687,0.99791807
